# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-6,2,0,4,2,4,6,6,1,1,3,3,5,5
14,-4,2,3,2,1,3,4,1,2,3,2,2,2,1
15,-12,4,0,8,4,8,12,12,9,9,6,6,3,3
16,-12,4,7,8,4,8,12,5,2,2,6,6,10,10
17,-12,4,7,8,4,8,12,5,2,9,6,6,10,3
18,-12,4,7,8,4,8,12,5,9,2,6,6,3,10
19,-12,4,7,8,4,8,12,5,9,9,6,6,3,3
20,-12,4,7,8,11,1,12,5,2,9,6,6,10,3
21,-8,5,0,3,5,3,8,8,6,6,4,4,2,2
22,-8,5,7,3,5,3,8,1,6,6,4,4,2,2
23,-18,6,7,12,13,5,18,11,10,3,9,9,8,15
24,-18,6,14,12,6,12,18,4,10,3,9,9,8,15
25,-18,6,14,12,6,12,18,4,10,10,9,9,8,8
26,-18,6,14,12,13,5,18,4,10,3,9,9,8,15
27,-10,8,0,2,8,2,10,10,4,4,5,5,6,6
28,-10,8,7,2,1,9,10,3,4,4,5,5,6,6
29,-10,8,7,2,8,2,10,3,4,4,5,5,6,6
30,-24,8,7,16,15,9,24,17,18,11,12,12,6,13
31,-24,8,7,16,15,9,24,17,18,18,12,12,6,6
32,-24,8,14,16,15,9,24,10,18,4,12,12,6,20
33,-24,8,14,16,15,9,24,10,18,18,12,12,6,6
34,-24,8,21,16,15,9,24,3,18,4,12,12,6,20
35,-24,8,21,16,15,9,24,3,18,11,12,12,6,13
36,-16,10,7,6,3,13,16,9,5,12,8,8,11,4
37,-16,10,7,6,3,13,16,9,12,5,8,8,4,11
38,-16,10,7,6,3,13,16,9,12,12,8,8,4,4
39,-16,10,7,6,10,6,16,9,12,5,8,8,4,11
40,-16,10,14,6,10,6,16,2,12,5,8,8,4,11
41,-20,16,7,4,9,11,20,13,8,15,10,10,12,5
42,-20,16,14,4,2,18,20,6,8,15,10,10,12,5
43,-20,16,14,4,9,11,20,6,8,15,10,10,12,5
