# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-16,2,4,6,8,10,12,14,16,7,9
11,-24,3,6,9,12,15,18,21,24,16,8
12,-10,4,8,1,5,9,2,6,10,3,7
13,-18,5,10,4,9,14,8,13,18,12,6
14,-18,5,10,15,9,3,8,13,18,12,6
15,-26,6,12,18,13,8,14,20,26,10,16
16,-12,7,3,10,6,2,9,5,12,8,4
17,-20,8,5,13,10,7,15,12,20,6,14
18,-20,8,16,13,10,7,4,12,20,6,14
19,-14,10,9,8,7,6,5,4,14,2,12
20,-30,12,24,14,15,16,6,18,30,20,10
21,-30,12,24,25,15,5,6,18,30,20,10
22,-16,13,4,6,8,10,12,3,16,7,9
23,-24,14,6,9,12,15,18,10,24,5,19
24,-24,14,6,9,12,15,18,10,24,16,8
25,-24,14,17,20,12,4,7,10,24,16,8
26,-18,16,10,4,9,14,8,2,18,12,6
27,-28,20,7,16,14,12,21,8,28,4,24
